partner,category,integration_type,fit_rationale,exact_surface_to_list_on,contact_or_PR_path,effort_estimate,priority
Plutus MCP server (own),MCP ecosystem,deep,"Enabler for every MCP directory below: expose spend/balance/topup/runway as MCP tools. Company strategy is MCP-native; highest leverage because it unlocks 6 listings.",N/A (build first),"New src in this repo; wrap plutus_agent.Meter + plutus.py --json as MCP tools",M,P1
Official MCP Registry,MCP ecosystem,marketplace,"Canonical registry that downstream directories ingest; do this first so others auto-pick-up.",registry.modelcontextprotocol.io,"mcp-publisher CLI: init -> login github -> publish server.json; README must carry mcp-name matching server.json (modelcontextprotocol.io/registry/quickstart)",S,P1
LiteLLM,LLM gateway,deep,"Huge user base; per-call response_cost is exactly what Plutus meters. Complements (they route, we bill + prepaid credit + runway).",docs.litellm.ai/docs/observability/custom_callback,"Ship a CustomLogger subclass package (read kwargs.response_cost, add to litellm.callbacks); docs PR to BerriAI/litellm for discoverability",M,P1
Helicone,Observability,deep,"Outbound webhooks deliver cost + token counts per request — a clean inbound feed for Plutus metering. They observe, we bill.",docs.helicone.ai/features/webhooks,"Build a webhook receiver mapping Helicone payload -> POST /v1/usage; blog/docs placement for discoverability",S,P1
punkpeye/awesome-mcp-servers,MCP ecosystem,marketplace,"Highest-traffic community MCP list; trivial PR once the server exists.",github.com/punkpeye/awesome-mcp-servers,"Fork + add alphabetically in category + PR (CONTRIBUTING.md); agent PRs may tag title for fast-track",S,P1
PulseMCP,MCP ecosystem,marketplace,"Popular MCP directory, simple web form, auto-refreshes daily.",pulsemcp.com/submit,Web form submission,S,P1
LangChain,Agent framework,deep,"Broadest agent-framework reach; BaseCallbackHandler captures usage_metadata off AIMessage for per-model metering.",docs.langchain.com/oss/python/integrations,"Publish own langchain-plutus package (BaseCallbackHandler); docs-only PR to langchain-ai/docs (integration create-doc). Code PRs into langchain core not accepted.",M,P2
Glama.ai,MCP ecosystem,marketplace,"Manually-reviewed MCP directory that also auto-indexes a submitted GitHub repo's tools/schemas.",glama.ai/mcp,"Form submission + point at repo; prefers production-quality README/install docs",S,P2
Smithery,MCP ecosystem,marketplace,"MCP directory + hosting; any Streamable-HTTP server works.",smithery.ai,"smithery mcp publish <url> -n <org/server> (or .mcpb bundle) + manifest",S,P2
mcp.so,MCP ecosystem,marketplace,"Large MCP aggregator, form-based submission.",mcp.so/submit,Web form submission,S,P2
n8n community node,Automation,marketplace,"Low-balance/alert -> automation is a natural Plutus trigger; unverified publish is trivial (npm naming only).",n8n nodes panel,"Publish npm n8n-nodes-plutus with keyword n8n-community-node-package. Verified status (post 2026-05-01) needs GH Actions npm provenance + NO runtime deps — a hard constraint if the node calls out.",M,P2
Anthropic Connectors Directory,MCP ecosystem,marketplace,"First-party Claude directory, high trust — but gated on hosting + org tier.",claude.com/docs/connectors/building/submission,"In-app portal (Claude.ai Team/Enterprise org admin). Requires REMOTE hosted MCP server + privacy policy (missing = instant reject) + tool safety annotations. Needs hosted control plane.",L,P3
CrewAI,Agent framework,deep,"Has usage_metrics already; a callback/step hook can feed Plutus. Mid-size reach.",docs.crewai.com,"Step/task callback wrapper -> POST /v1/usage; docs/example PR",M,P3
Vercel Integrations Marketplace,PaaS marketplace,marketplace,"Distribution to Vercel devs — but designed for SaaS with hosted OAuth install/provisioning.",vercel.com/marketplace/program,"Marketplace Program form -> build against Marketplace API -> email integrations@vercel.com. Needs a hosted OAuth control-plane; poor fit for a pure self-host binary.",L,P3
Stripe App Marketplace,Payments marketplace,marketplace,"Plutus is Stripe-integrated, so brand-adjacent — but a Stripe App runs IN the Stripe Dashboard, not a channel for a self-hosted backend.",docs.stripe.com/stripe-apps/publish-app,"stripe apps CLI, distribution public, Dashboard listing, ~4-day review. Would require building a genuine Dashboard app front-end (stretch).",L,P3
Railway / Render deploy template,PaaS marketplace,marketplace,"One-click self-host lowers adoption friction; low effort given existing Dockerfile.",railway.app/templates or render.com,"Publish a template referencing the GHCR image + docker-compose",S,P3
Hugging Face Space (demo),Demo listing,marketplace,"Zero-friction hosted demo of the dashboard for discoverability; low value but trivial.",huggingface.co/spaces,"Create a Space running plutus demo (Docker Space)",S,P3
Langfuse,Observability,marketplace,"NOT an inbound integration point — cost is internal, no billing hook. Treat as a spend DATA SOURCE for Plutus (via their API/OTel export), not a listing target.",langfuse.com/integrations (curated),"Docs PR to langfuse/langfuse-docs only; no self-serve registry or extension hook",L,P3
